name,category,date,value
Thailand,THA,2014-01-01,2.1
Thailand,THA,2015-01-01,2.16
Thailand,THA,2016-01-01,2.32
Thailand,THA,2017-01-01,2.29
Thailand,THA,2018-01-01,1.79
Thailand,THA,2019-01-01,1.85
Vietnam,VNM,1961-01-01,0.19
Vietnam,VNM,1962-01-01,0.19
Vietnam,VNM,1963-01-01,0.2
Vietnam,VNM,1964-01-01,0.21
Vietnam,VNM,1965-01-01,0.24
Vietnam,VNM,1966-01-01,0.24
Vietnam,VNM,1967-01-01,0.26
Vietnam,VNM,1968-01-01,0.24
Vietnam,VNM,1969-01-01,0.26
Vietnam,VNM,1970-01-01,0.28
Vietnam,VNM,1971-01-01,0.27
Vietnam,VNM,1972-01-01,0.21
Vietnam,VNM,1973-01-01,0.21
Vietnam,VNM,1974-01-01,0.14
Vietnam,VNM,1975-01-01,0.13
Vietnam,VNM,1976-01-01,0.14
Vietnam,VNM,1977-01-01,0.13
Vietnam,VNM,1978-01-01,0.12
Vietnam,VNM,1979-01-01,0.14
Vietnam,VNM,1980-01-01,0.09
Vietnam,VNM,1981-01-01,0.09
Vietnam,VNM,1982-01-01,0.08
Vietnam,VNM,1983-01-01,0.08
Vietnam,VNM,1984-01-01,0.13
Vietnam,VNM,1985-01-01,0.12
Vietnam,VNM,1986-01-01,0.12
Vietnam,VNM,1987-01-01,0.11
Vietnam,VNM,1988-01-01,0.12
Vietnam,VNM,1989-01-01,0.13
Vietnam,VNM,1990-01-01,0.14
Vietnam,VNM,1991-01-01,0.15
Vietnam,VNM,1992-01-01,0.19
Vietnam,VNM,1993-01-01,0.16
Vietnam,VNM,1994-01-01,0.34
Vietnam,VNM,1995-01-01,0.31
Vietnam,VNM,1996-01-01,0.6
Vietnam,VNM,1997-01-01,0.58
Vietnam,VNM,1998-01-01,0.64
Vietnam,VNM,1999-01-01,0.6
Vietnam,VNM,2000-01-01,69.361
Vietnam,VNM,2001-01-01,71.826
Vietnam,VNM,2002-01-01,77.181
Vietnam,VNM,2003-01-01,87.795
Vietnam,VNM,2004-01-01,106.727
Vietnam,VNM,2005-01-01,112.409
Vietnam,VNM,2006-01-01,128.048
Vietnam,VNM,2007-01-01,142.749
Vietnam,VNM,2008-01-01,163.274
Vietnam,VNM,2009-01-01,180.837
Vietnam,VNM,2010-01-01,2.07
Vietnam,VNM,2011-01-01,2.25
Vietnam,VNM,2012-01-01,2.34
Vietnam,VNM,2013-01-01,2.45
Vietnam,VNM,2014-01-01,2.52
Vietnam,VNM,2015-01-01,2.69
Vietnam,VNM,2016-01-01,2.86
Vietnam,VNM,2017-01-01,2.99
Vietnam,VNM,2018-01-01,3.18
Vietnam,VNM,2019-01-01,3.18
